full_address,lon,lat
"1f2, 18 Leopold Place, Hillside, Edinburgh, EH7 5LB",-3.1814134,55.9579682
"1f3, 29 Portobello High Street, Portobello West, Edinburgh, EH15 1DE",-3.118674,55.9553324
"23 Craigleith Hill Avenue, Craigleith, Edinburgh, EH4 2HZ",-3.2314701,55.9604569
"2f2, 8 Cumberland Street, Stockbridge, Edinburgh, EH3 6SA",-3.1977608,55.9590635
"3f1, 5 East London Street, Broughton, Edinburgh, EH7 4BN",-3.190427,55.9592052
"3f1, 9 Hope Park Terrace, Newington, Edinburgh, EH8 9LZ",-3.1819171,55.9407338
"47 Lowrie Gait, Scotstoun, South Queensferry, EH30 9AB",-3.3829669,55.9839103
"Flat 1, 46 North Castle Street, New Town, Edinburgh, EH2 3BN",-3.2040945,55.953031
"Flat 1, 50 Balfour Street, Pilrig, Edinburgh, EH6 5SG",-3.1780967,55.9674534
"Flat 10, 48 Annandale Street, Broughton, Edinburgh, EH7 4FA",-3.1858779999999998,55.9612796
"Flat 17, 13 Pillans Place, South Leith, Edinburgh, EH6 7FG",-3.159679,55.9726815
"Flat 3, 6 Sienna Gardens, Sciennes, Edinburgh, EH9 1PG",-3.1829854,55.9388173
"The Water Tower, Easter Dalmeny, Dalmeny, South Queensferry, EH30 9TS",-3.36445,55.98391
"14 Crewe Place, Royston, Edinburgh, EH5 2LS",-3.2374306,55.9744623
"15 Spottiswoode Road, Marchmont, Edinburgh, EH9 1BH",-3.1958516,55.9361317
"16 Jameson Place, Leith, Edinburgh, EH6 8PB",-3.1748442,55.9655837
"1f1, 10 Marlborough Street, Portobello East, Edinburgh, EH15 2BG",-3.110818,55.9523751
"3f2, 9 Home Street, Tollcross, Edinburgh, EH3 9JR",-3.2034389,55.9433709
"3f5, 3 Royal Park Terrace, Abbeyhill, Edinburgh, EH8 8JD",-3.1595604,55.9546707
"7 Valleyfield Street, Tollcross, Edinburgh, EH3 9LP",-3.202155,55.9415458
"Flat 1, 57 Great King Street, New Town, Edinburgh, EH3 6RP",-3.200494,55.9575134
"Flat 20, 6 Drummond Street, Southside, Edinburgh, EH8 9TU",-3.1850807,55.9474701
"Flat 22, 6 Drummond Street, Southside, Edinburgh, EH8 9TU",-3.1850807,55.9474701
"Flat 23, 6 Drummond Street, Southside, Edinburgh, EH8 9TU",-3.1850807,55.9474701
"Flat 25, 6 Drummond Street, Southside, Edinburgh, EH8 9TU",-3.1850807,55.9474701
"Flat 4, 105 Grove Street, Fountainbridge, Edinburgh, EH3 8AB",-3.2114249,55.9438397
"Flat 4, 5 Albyn Place, New Town, Edinburgh, EH2 4NG",-3.2062576,55.9536916
"4 Bluebell Terrace, Niddrie, Edinburgh, EH16 4XH",-3.1285618,55.9332204
"40 Gracemount Square, Gracemount, Edinburgh, EH16 6EJ",-3.1596559,55.9082045
"7 Corslet Road, Currie, Edinburgh, EH14 5LZ",-3.3089422,55.900543
"Flat 1, 39 Lower London Road, Abbeyhill, Edinburgh, EH7 5TE",-3.165748,55.9567668
"Flat 2, 55 Blackfriars Street, Old Town, Edinburgh, EH1 1NB",-3.1856528,55.9493844
"2f, 23 Scotland Street, Broughton, Edinburgh, EH3 6PU",-3.1948944,55.960004
"2f2, 5 Royal Crescent, Broughton, Edinburgh, EH3 6PZ",-3.1960486,55.9598624
"3f, 13 London Street, Broughton, Edinburgh, EH3 6LZ",-3.1925954,55.958855
"3f2, 90 Grassmarket, Old Town, Edinburgh, EH1 2JR",-3.1951196,55.9478725
"Flat 3, 6 Russell Gardens, Roseburn, Edinburgh, EH12 5PG",-3.2336019,55.9448171
"1f2, 43 Findlay Avenue, Restalrig, Edinburgh, EH7 6EY",-3.1513,55.9646958
"2f1, 39 Barony Street, Broughton, Edinburgh, EH3 6NX",-3.1918873,55.9577967
"2f1, 63a Nicolson Street, Newington, Edinburgh, EH8 9BZ",-3.1846658,55.9455669
"56 Muirhouse Avenue, Muirhouse, Edinburgh, EH4 4PL",-3.254528,55.9699461
"7 Dalmeny Street, Leith, Edinburgh, EH6 8PF",-3.1758974,55.965182
"Flat 16, 6 Drummond Street, Southside, Edinburgh, EH8 9TU",-3.1850807,55.9474701
"Flat 19, 31 Brunswick Road, Hillside, Edinburgh, EH7 5GW",-3.1735832999999998,55.9608402
"Flat 3, 160b Canongate, Old Town, Edinburgh, EH8 8DD",-3.1800635,55.9511915
"Flat 4, 11 Arthur Street, Pilrig, Edinburgh, EH6 5DA",-3.1773124,55.9653743
"Flat 8, 25 Silvermills, Stockbridge, Edinburgh, EH3 5BF",-3.2039600999999998,55.9591646
"13 Lilyhill Terrace, Willowbrae, Edinburgh, EH8 7DS",-3.1524457,55.954117600000004
"14 Danube Street, Stockbridge, Edinburgh, EH4 1NT",-3.2119834,55.9566171
"1f2, 14 Brougham Place, Tollcross, Edinburgh, EH3 9JX",-3.200934,55.942522
"20 Merchiston Gardens, Morningside, Edinburgh, EH10 5DD",-3.2222522,55.9293774
"3f1, 2 Drumdryan Street, Tollcross, Edinburgh, EH3 9LA",-3.2024296,55.9429757
"3f3, 14 George Iv Bridge, Old Town, Edinburgh, EH1 1EE",-3.1919699,55.9479629
"3f3, 23 Blackwood Crescent, Newington, Edinburgh, EH9 1RA",-3.1801337,55.9382504
"3f4, 14 George Iv Bridge, Edinburgh, EH1 1EE",-3.1919699,55.9479629
"53 Promenade, Portobello East, Edinburgh, EH15 2BH",-3.1079577,55.953506
"Flat 11, 9 Western Harbour View, Newhaven, Edinburgh, EH6 6PG",-3.1885163,55.9872559
"Flat 16, 22 Simpson Loan, Southside, Edinburgh, EH3 9GD",-3.1925801,55.943456
"Flat 8, 28 Easter Dalry Wynd, Dalry, Edinburgh, EH11 2TJ",-3.2206021,55.9445418
"1f, 33 Buckingham Terrace, Dean, Edinburgh, EH4 3AF",-3.219397,55.9548526
"1f2, 152 Bruntsfield Place, Edinburgh, EH10 4ER",-3.2083303,55.9365052
"3f1, 51 Roseburn Terrace, Wester Coates, Edinburgh, EH12 5NQ",-3.242511,55.944321
"3f2, 44 Howe Street, New Town, Edinburgh, EH3 6TH",-3.2027052,55.9566675
"3f4, 50 Lady Lawson Street, Old Town, Edinburgh, EH3 9DW",-3.2006373,55.9457726
"4 Saltire Square, Granton, Edinburgh, EH5 1PR",-3.2368518,55.9814628
"9 Riccarton Drive, Currie, Edinburgh, EH14 5PN",-3.31126,55.9001048
"Flat 1, 35 Lochrin Place, Tollcross, Edinburgh, EH3 9RB",-3.2053992,55.9423229
"Flat 6, 5 Cables Wynd, North Leith, Edinburgh, EH6 6DU",-3.1752247,55.9734625
"Pf1, 1 Albion Place, Leith, Edinburgh, EH7 5QR",-3.1675731,55.9619487
"1f1, 16 Moncrieff Terrace, Sciennes, Edinburgh, EH9 1NA",-3.183844,55.9387887
"1f3, 1 Roseneath Place, Marchmont, Edinburgh, EH9 1JB",-3.1936443,55.9393384
"2f1, 11 Learmonth Terrace, Stockbridge, Edinburgh, EH4 1PG",-3.2183672,55.9555273
"2f1, 40 Great King Street, New Town, Edinburgh, EH3 6QH",-3.1992402,55.9580042
"2f1, 9 Montague Street, Newington, Edinburgh, EH8 9QT",-3.1812044,55.9418424
"3f1, 5 Caledonian Road, Dalry, Edinburgh, EH11 2DA",-3.2175811,55.9440064
"3f2, 34 Marchmont Crescent, Marchmont, Edinburgh, EH9 1HG",-3.1928809,55.9377404
"Flat 2, 118 Hanover Street, New Town, Edinburgh, EH2 1DR",-3.19813,55.9546679
"Flat 25, 128 Mcdonald Road, Broughton, Edinburgh, EH7 4QU",-3.1860064,55.9642525
